coll_data,GrBb.dat,GrCs.dat,GrEF1.dat,GrEF2.dat,GrEF3.dat,GrFs.dat,GrGb.dat,GrGd.dat,GrGr.dat,GrHe.dat,GrHr.dat,GrI1.dat,GrI2.dat,GrIm.dat,GrKg.dat,GrKr.dat,GrNBa.dat,GrNBr.dat,GrNFg.dat,GrNKr.dat,GrNLa.dat,GrNPo.dat,GrNSr.dat,GrNZr.dat,GrOk.dat,GrOp.dat,GrOt.dat,GrOy.dat,GrRc.dat,GrSh.dat,GrTCa.dat,GrTCl.dat,GrTDk.dat,GrTDr.dat,GrTFc.dat,GrTFx.dat,GrTGn.dat,GrTGw.dat,GrTIc.dat,GrTKb.dat,GrTKp.dat,GrTLg.dat,GrTLk.dat,GrTMr.dat,GrTMs.dat,GrTMt.dat,GrTNs.dat,GrTPc.dat,GrTPe.dat,GrTPk.dat,GrTPr.dat,GrTSk.dat,GrTSs.dat,GrTYs.dat,GrTZd.dat,GrYt.dat,GrZe.dat
int2,0 | 67,0 | 15,0 | 1,0 | 1,0 | 1,0 | 5,0 | 8,0 | 4,0 | 31,0 | 1,0 | 1,0 | 22,0 | 15,0 | 217,0 | 8,0 | 6,0 | 1,0 | 3,0 | 4,0 | 61,0 | 1,0 | 6,0 | 14,0 | 3,0 | 5,0 | 4,0 | 5,0 | 4,0 | 45,0 | 11,0 | 5,0 | 3,0 | 3,0 | 6,0 | 4,0 | 2,0 | 10,0 | 4,0 | 63,0 | 5,0 | 2,0 | 1,0 | 3,0 | 13,0 | 4,0 | 5,0 | 2,0 | 12,0 | 2,0 | 2,0 | 15,0 | 1,0 | 3,0 | 3,0 | 1,0 | 10,0 | 6
int2,0 | 24,0,0 | 215,0 | 227,0 | 248,0 | 18,,0,0,0 | 85,0 | 84,0 | 19,0 | 20,0,0,0,0,0 | 73,0 | 83,0,0,0 | 82,0,0 | 66,0 | 30,0,0,0,0 | 11,0 | 14,0 | 34,0 | 35,0 | 36,0 | 37,0 | 38,0 | 39,0 | 58,0 | 56,0 | 40,0 | 41,0 | 42,0 | 44,0 | 43,0,0 | 45,0 | 46,0 | 47,0 | 49,0 | 48,0 | 50,0 | 51,0 | 53,0 | 52,0 | 54,0 | 55,0 | 16,
int2,0 | 3,0,0 | 53,0 | 53,0 | 53,0 | 31,,0,0,0,0 | 83,0 | 41,0 | 43,0,0,0,0,0 | 3,0 | 53,0,,0 | 81,0,0 | 76,0 | 57,0,,,0 | 66,0 | 75,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 40,0 | 83,0 | 83,0 | 83,0 | 83,0,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 95,
int2,0 | 55,0,#FFFF,#FFFF,#FFFF,#FFFF,,0,,#FFFF,#FFFF,0 | 7,0 | 7,0,0,,0,0 | 55,#FFFF,0,,#FFFF,0,#FFFF,#FFFF,0,,,#FFFF,0 | 1,-1 | -2,-1 | -2,-1 | -2,-1 | -2,-1 | -2,-1 | -2,-1 | -2,-1 | -2,#FFFF,-1 | -2,-1 | -2,-1 | -2,-1 | -2,0,-1 | -2,-1 | -2,-1 | -2,-1 | -2,-1 | -2,-1 | -2,-1 | -2,-1 | -2,-1 | -2,-1 | -2,-1 | -2,0 | 77,
int2,0 | 3,,#FFFF,#FFFF,#FFFF,0 | 31,,,,0,0 | 83,0 | 42,0 | 44,0,,,0,0 | 3,0 | 53,0,,0 | 81,0,0 | 76,0 | 57,0,,,0 | 66,0 | 75,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 40,0 | 83,0 | 83,0 | 83,0 | 83,0,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 83,0 | 95,
int2,0 | 55,,#FFFF,#FFFF,#FFFF,#FFFF,,,,#FFFF,#FFFF,0 | 7,0 | 7,0,,,0,0 | 55,#FFFF,0,,#FFFF,0,#FFFF,#FFFF,0,,,#FFFF,0 | 1,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,0,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,#FFFF,0 | 77,
int2,5 | 12,,0 | 1,0 | 1,0 | 1,0 | 1,,,,0 | 1,0 | 1,6 | 12,6 | 12,0,,,0,6 | 12,0 | 1,,,0 | 1,,0 | 1,0 | 1,,,,0 | 1,3 | 12,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,0 | 1,6 | 12,
int2,100 | 1,,100 | 1,100 | 1,100 | 1,100 | 1,,,,100 | 0,100 | 0,100 | 1,100 | 1,0,,,,100 | 1,100 | 0,,,100 | 0,,100 | 1,100 | 1,,,,100 | 1,100 | 1,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 0,100 | 1,
int2,1 | 1,,1 | 1,1 | 1,1 | 1,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,0 | 1,,1 | 1,1 | 1,1 | 1,0 | 1,,,,0,0,0 | 1,0 | 1,,,,,1 | 1,0,,,0,,1 | 1,0 | 1,,,,0 | 1,0 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,1 | 1,1 | 1,1 | 1,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,1 | 1,1 | 1,1 | 1,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,1 | 1,1 | 1,1 | 1,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,1 | 1,1 | 1,1 | 1,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,1 | 1,1 | 1,1 | 1,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,1 | 1,1 | 1,1 | 1,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,1 | 1,1 | 1,1 | 1,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,1 | 1,1 | 1,1 | 1,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,1 | 1,1 | 1,1 | 1,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,1 | 1,1 | 1,1 | 1,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,1 | 0,1 | 0,1 | 0,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,0,0,0,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,1 | 1,1 | 1,1 | 1,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,1 | 1,1 | 1,1 | 1,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,1 | 1,,1 | 1,1 | 1,1 | 1,1 | 1,,,,0,0,1 | 1,1 | 1,,,,,1 | 1,0,,,0,,1 | 1,1 | 1,,,,1 | 1,1 | 1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1 | 1,
int2,0,,0,0,0,0,,,,0,0,0,0,,,,,0,0,,,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
int2,0 | 104,,,,,0 | 106,,,,,,0 | 101,0 | 102,,,,,0 | 234,,,,,,,,,,,0 | 87,0 | 64,,,,,,,,,,,,,,,,,,,,,,,,,,0 | 95,
int2,0 | 3,,,,,0 | 31,,,,,,0 | 41,0 | 43,,,,,0 | 3,,,,,,,,,,,0 | 66,0 | 34,,,,,,,,,,,,,,,,,,,,,,,,,,0 | 95,
int2,0 | 55,,,,,#FFFF,,,,,,#FFFF,#FFFF,,,,,#FFFF,,,,,,,,,,,#FFFF,#FFFF,,,,,,,,,,,,,,,,,,,,,,,,,,0 | 77,
int2,0 | 3,,,,,0 | 31,,,,,,0 | 41,0 | 43,,,,,#FFFF,,,,,,,,,,,0 | 66,0 | 34,,,,,,,,,,,,,,,,,,,,,,,,,,0 | 95,
int2,0 | 55,,,,,#FFFF,,,,,,#FFFF,#FFFF,,,,,#FFFF,,,,,,,,,,,#FFFF,#FFFF,,,,,,,,,,,,,,,,,,,,,,,,,,0 | 77,
int2,5 | 12,,,,,0 | 1,,,,,,0 | 1,0 | 1,,,,,0 | 1,,,,,,,,,,,0 | 1,0 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,6 | 12,
int2,100 | 1,,,,,100 | 1,,,,,,100 | 1,100 | 1,,,,,100 | 1,,,,,,,,,,,100 | 1,100 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,100 | 1,
int2,1 | 1,,,,,1 | 1,,,,,,1 | 1,1 | 1,,,,,1 | 1,,,,,,,,,,,1 | 1,1 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,1 | 1,
int2,1 | 1,,,,,1 | 1,,,,,,1 | 1,1 | 1,,,,,1 | 1,,,,,,,,,,,1 | 1,1 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,1 | 1,
int2,1 | 1,,,,,1 | 1,,,,,,1 | 1,1 | 1,,,,,1 | 1,,,,,,,,,,,1 | 1,1 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,1 | 1,
int2,1 | 1,,,,,1 | 1,,,,,,1 | 1,1 | 1,,,,,1 | 1,,,,,,,,,,,1 | 1,1 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,1 | 1,
int2,1 | 1,,,,,1 | 1,,,,,,1 | 1,1 | 1,,,,,1 | 1,,,,,,,,,,,1 | 1,1 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,1 | 1,
int2,1 | 1,,,,,1 | 1,,,,,,1 | 1,1 | 1,,,,,1 | 1,,,,,,,,,,,1 | 1,1 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,1 | 1,
int2,1 | 1,,,,,1 | 1,,,,,,1 | 1,1 | 1,,,,,1 | 1,,,,,,,,,,,1 | 1,1 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,1 | 1,
int2,1 | 1,,,,,1 | 1,,,,,,1 | 1,1 | 1,,,,,1 | 1,,,,,,,,,,,1 | 1,1 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,1 | 1,
int2,1 | 1,,,,,1 | 1,,,,,,1 | 1,1 | 1,,,,,1 | 1,,,,,,,,,,,1 | 1,1 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,1 | 1,
int2,1 | 1,,,,,1 | 1,,,,,,1 | 1,1 | 1,,,,,1 | 1,,,,,,,,,,,1 | 1,1 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,1 | 1,
int2,1 | 1,,,,,1 | 1,,,,,,1 | 1,1 | 1,,,,,1 | 1,,,,,,,,,,,1 | 1,1 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,1 | 1,
int2,1 | 1,,,,,1 | 1,,,,,,1 | 1,1 | 1,,,,,1 | 1,,,,,,,,,,,1 | 1,1 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,1 | 1,
int2,1 | 1,,,,,1 | 1,,,,,,1 | 1,1 | 1,,,,,1 | 0,,,,,,,,,,,1 | 1,1 | 1,,,,,,,,,,,,,,,,,,,,,,,,,,1 | 1,
